ViscoIntrinseca ; RgFloryFox 
53.796528 ; 42.3325386047  
53.229328 ; 42.1832389832  
48.766850 ; 40.9698638916  
48.868893 ; 40.9984169006  
51.874634 ; 41.8223037720  
54.546593 ; 42.5283775330  
55.020092 ; 42.6510810852  
54.610725 ; 42.5450401306  
53.927658 ; 42.3669090271  
52.892681 ; 42.0941200256  
49.209591 ; 41.0934715271  
49.720760 ; 41.2352714539  
52.880283 ; 42.0908317566  
55.007454 ; 42.6478157043  
55.020092 ; 42.6510810852  
54.687496 ; 42.5649642944  
54.073093 ; 42.4049644470  
51.694389 ; 41.7738113403  
49.670456 ; 41.2213592529  
50.705429 ; 41.5056991577  
53.800579 ; 42.3336029053  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
54.721115 ; 42.5736846924  
54.170845 ; 42.4304962158  
50.646778 ; 41.4896926880  
50.067184 ; 41.3308181763  
51.733490 ; 41.7843360901  
54.512974 ; 42.5196380615  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
54.764267 ; 42.5848731995  
54.239269 ; 42.4483566284  
50.466534 ; 41.4404106140  
50.403831 ; 41.4232444763  
52.674767 ; 42.0362358093  
54.985043 ; 42.6420211792  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
54.750439 ; 42.5812873840  
54.265736 ; 42.4552574158  
50.761459 ; 41.5209846497  
50.889965 ; 41.5559921265  
53.578613 ; 42.2753067017  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
54.831501 ; 42.6022911072  
54.043766 ; 42.3972930908  
51.149605 ; 41.6265449524  
51.681755 ; 41.7704048157  
54.380177 ; 42.4850807190  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
54.878948 ; 42.6145782471  
52.969692 ; 42.1145439148  
51.523922 ; 41.7278404236  
52.508591 ; 41.9919853210  
54.930683 ; 42.6279678345  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
54.908272 ; 42.6221694946  
52.265640 ; 41.9271202087  
51.916359 ; 41.8335151672  
53.429123 ; 42.2359504700  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
54.899929 ; 42.6200103760  
52.192924 ; 41.9076652527  
52.171944 ; 41.9020500183  
54.132935 ; 42.4205970764  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
54.891582 ; 42.6178474426  
52.423473 ; 41.9692802429  
52.577015 ; 42.0102157593  
54.746147 ; 42.5801773071  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
54.683445 ; 42.5639152527  
52.637096 ; 42.0262145996  
53.191658 ; 42.1732864380  
55.015800 ; 42.6499710083  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
53.856609 ; 42.3482971191  
52.957054 ; 42.1111907959  
53.923603 ; 42.3658447266  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
53.318737 ; 42.2068443298  
53.152557 ; 42.1629524231  
54.473873 ; 42.5094680786  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
53.344009 ; 42.2135086060  
53.362129 ; 42.2182884216  
54.939030 ; 42.6301231384  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
53.510185 ; 42.2573013306  
53.748844 ; 42.3200302124  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
54.997681 ; 42.6452865601  
53.702827 ; 42.3079528809  
54.251667 ; 42.4515876770  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
54.247616 ; 42.4505348206  
53.817509 ; 42.3380432129  
54.652687 ; 42.5559310913  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
53.915260 ; 42.3636627197  
53.894279 ; 42.3581657410  
55.007454 ; 42.6478157043  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
55.020092 ; 42.6510810852  
